epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6068637371063232,2.027493953704834,0.001,0.7627039551734924,1.0264033079147339
1,0.738955020904541,1.0792895555496216,0.001,0.806962788105011,0.8232328295707703
2,0.7839338779449463,0.8776076436042786,0.001,0.8439621925354004,0.6668369770050049
3,0.8147642612457275,0.7452882528305054,0.001,0.8548903465270996,0.6067250967025757
4,0.8348177075386047,0.6557435989379883,0.001,0.8755756616592407,0.5271462798118591
5,0.8500185012817383,0.5921072959899902,0.001,0.8707360625267029,0.5220734477043152
6,0.8628807663917542,0.5426623821258545,0.001,0.8797127604484558,0.48828020691871643
7,0.8703447580337524,0.5155169367790222,0.001,0.8838497996330261,0.4776983857154846
8,0.8791144490242004,0.4827556014060974,0.001,0.8826009035110474,0.4809436798095703
9,0.8837721347808838,0.47116819024086,0.001,0.8814300298690796,0.4657938480377197
10,0.8992263078689575,0.41362568736076355,0.00090483745,0.9001639485359192,0.41373178362846375
11,0.9076842069625854,0.37865614891052246,0.0008187308,0.8939192891120911,0.4244873821735382
12,0.9185391664505005,0.3415973484516144,0.0007408183,0.9075013399124146,0.3787634074687958
13,0.9254769682884216,0.31343960762023926,0.00067032006,0.9041448831558228,0.3887263536453247
14,0.9354354739189148,0.2781844735145569,0.0006065307,0.9139801859855652,0.341787725687027
15,0.9415158033370972,0.25373414158821106,0.0005488117,0.9090625047683716,0.34975913166999817
16,0.946465790271759,0.23254068195819855,0.00049658533,0.9109359383583069,0.34356868267059326
17,0.9524876475334167,0.21316614747047424,0.00044932897,0.9166341423988342,0.32291272282600403
18,0.9564827680587769,0.1973487138748169,0.00040656966,0.9201467633247375,0.3131791949272156
19,0.961062490940094,0.17797742784023285,0.00036787943,0.9191319942474365,0.3109092116355896
20,0.9659930467605591,0.16258080303668976,0.00033287107,0.9213176369667053,0.3042036294937134
21,0.9686824083328247,0.1524653136730194,0.0003011942,0.9187417030334473,0.307211697101593
22,0.9705727696418762,0.14231784641742706,0.0002725318,0.9236593842506409,0.2931325137615204
23,0.974938154220581,0.1269286572933197,0.00024659696,0.9228788018226624,0.29849833250045776
24,0.9761658906936646,0.12286347895860672,0.00022313016,0.9206931591033936,0.2993845045566559
25,0.9774131178855896,0.11427314579486847,0.00020189652,0.9251424670219421,0.28660184144973755
26,0.9802194237709045,0.10740344971418381,0.00018268352,0.9267816543579102,0.2847491502761841
27,0.981797993183136,0.10036864876747131,0.00016529889,0.9234251976013184,0.2899339497089386
28,0.9823046922683716,0.09746194630861282,0.00014956862,0.9268597364425659,0.2805175483226776
29,0.9846042990684509,0.08935151249170303,0.00013533529,0.9275622367858887,0.280263751745224
30,0.9848771095275879,0.08695243299007416,0.00012245643,0.9279525279998779,0.2718724012374878
31,0.9853253364562988,0.08370211720466614,0.000110803165,0.9277183413505554,0.2676829695701599
32,0.9872351884841919,0.07931234687566757,0.00010025885,0.9260791540145874,0.27195075154304504
33,0.9877029061317444,0.0759071409702301,9.071796e-05,0.9285770058631897,0.2702566981315613
34,0.9877223968505859,0.0752311423420906,8.2085004e-05,0.9274061322212219,0.2692025303840637
35,0.9890475869178772,0.06999105960130692,7.427358e-05,0.9283428192138672,0.2663075923919678
36,0.9902169108390808,0.06735173612833023,6.720551e-05,0.9280306100845337,0.268022358417511
37,0.9901779294013977,0.06746049225330353,6.081006e-05,0.928420901298523,0.2684341371059418
38,0.9899051189422607,0.06633707880973816,5.5023218e-05,0.9282647967338562,0.26666826009750366
39,0.9903728365898132,0.06409017741680145,4.9787068e-05,0.9287331104278564,0.2663295269012451
40,0.9912497997283936,0.061276208609342575,4.50492e-05,0.9287331104278564,0.26287662982940674
41,0.9909964203834534,0.06085937097668648,4.0762203e-05,0.9283428192138672,0.26420679688453674
42,0.9915810823440552,0.059123747050762177,3.6883168e-05,0.9277183413505554,0.2626010775566101
43,0.9909964203834534,0.060278307646512985,3.337327e-05,0.928420901298523,0.2600880265235901
